hash_id,product_title,product_description,product_photo
4558dbb6f6f8bb2e16d03b85bde76e2c,لپ تاپ دل وسترو 1520-F,,"[384, 1, 220, 180, ""jpg"", [3], []]"
677e09724f0e2df9b6c000b75b5da10d,لپ تاپ دل وسترو 1320-A,,"[1597, 1, 220, 180, ""jpg"", [3], []]"
d554f7bb7be44a7267068a7df88ddd20,لپ تاپ دل وسترو 1320-A,,"[1736, 1, 220, 180, ""jpg"", [3], []]"
795c7a7a5ec6b460ec00c5841019b9e9,لپ تاپ دل وسترو 1320-C,,"[1611, 1, 220, 180, ""jpg"", [3], []]"
fa3a3c407f82377f55c19c5d403335c7,کامپیوتر جیبی آی میت 810 اف,,"[299, 1, 180, 220, ""jpg"", [3], []]"
c2626d850c80ea07e7511bbae4c76f4b,لپ تاپ دل وسترو 1320-D,,"[363, 1, 220, 180, ""jpg"", [3], []]"
8e82ab7243b7c66d768f1b8ce1c967eb,کامپیوتر جیبی آی میت آلتی میت 9502,,"[1638, 1, 180, 220, ""jpg"", [3], []]"
e0ec453e28e061cc58ac43f91dc2f3f0,لپ تاپ دل اینسپایرون 1545-A,,"[376, 1, 220, 180, ""jpg"", [3], []]"
7250eb93b3c18cc9daa29cf58af7a004,کامپیوتر جیبی آی میت آلتی میت 8502,,"[330, 1, 180, 220, ""jpg"", [3], []]"
013a006f03dbc5392effeb8f18fda755,لپ تاپ دل اینسپایرون 1545-B,,"[240, 1, 220, 180, ""jpg"", [3], []]"
301ad0e3bd5cb1627a2044908a42fdc2,لپ تاپ دل اینسپایرون 1545-C,,"[""59013d7e75efe7c4f141d401713a15facd219c28_1672664028"", 1, 2500, 2500, ""jpg"", [3], []]"
4d5b995358e7798bc7e9d9db83c612a5,لپ تاپ دل اینسپایرون 1545-D,,"[""0769490ff6532dd141844b5fb5e4f84dcbf34c5d_1672664038"", 1, 2500, 2500, ""jpg"", [3], []]"
ab88b15733f543179858600245108dd8,کامپیوتر جیبی آی میت جاما 201,,"[1654, 1, 180, 220, ""jpg"", [3], []]"
